,id_turma,discente,unidade,nota,media_final,descricao,numero_total_faltas,disciplina,semestre
92,51700,3e159a820bac1673424e8e74e3104711,3,6.2,7.8,APROVADO,8,PENSAMENTO COMPUTACIONAL,2020.1
93,51700,378a7cb0510bd144b559d1b8dacb66ff,3,10.0,9.8,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
94,51700,378a7cb0510bd144b559d1b8dacb66ff,1,9.4,9.8,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
95,51700,378a7cb0510bd144b559d1b8dacb66ff,2,10.0,9.8,APROVADO,4,PENSAMENTO COMPUTACIONAL,2020.1
96,51700,5100642c10d9b1283ef4a0a3ec314453,1,6.0,2.8,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
97,51700,5100642c10d9b1283ef4a0a3ec314453,2,2.5,2.8,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
98,51700,5100642c10d9b1283ef4a0a3ec314453,3,0.0,2.8,REPROVADO POR MÉDIA E POR FALTAS,22,PENSAMENTO COMPUTACIONAL,2020.1
99,51700,77eb99e2672ae5d00d834685aa2182f8,1,9.6,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
100,51700,77eb99e2672ae5d00d834685aa2182f8,2,9.5,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
101,51700,77eb99e2672ae5d00d834685aa2182f8,3,8.4,9.2,APROVADO,0,PENSAMENTO COMPUTACIONAL,2020.1
102,51700,fd0a060fbf2dc8f1e379f47fa70e7b60,1,4.3,4.0,REPROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
103,51700,fd0a060fbf2dc8f1e379f47fa70e7b60,2,2.6,4.0,REPROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
104,51700,fd0a060fbf2dc8f1e379f47fa70e7b60,3,5.0,4.0,REPROVADO,16,PENSAMENTO COMPUTACIONAL,2020.1
105,51700,c1b7f7103489bc95d97c263135e8a08b,1,1.6,0.5,REPROVADO POR MÉDIA E POR FALTAS,34,PENSAMENTO COMPUTACIONAL,2020.1
106,51700,c1b7f7103489bc95d97c263135e8a08b,2,0.0,0.5,REPROVADO POR MÉDIA E POR FALTAS,34,PENSAMENTO COMPUTACIONAL,2020.1
107,51700,c1b7f7103489bc95d97c263135e8a08b,3,0.0,0.5,REPROVADO POR MÉDIA E POR FALTAS,34,PENSAMENTO COMPUTACIONAL,2020.1
108,51700,fd9ecb8a9a2648a3d287397b325edd57,1,0.1,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
109,51700,fd9ecb8a9a2648a3d287397b325edd57,2,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
110,51700,fd9ecb8a9a2648a3d287397b325edd57,3,0.0,0.0,REPROVADO POR MÉDIA E POR FALTAS,32,PENSAMENTO COMPUTACIONAL,2020.1
111,51700,024332d25d558899c24f6a7bacfe6019,1,6.0,6.9,APROVADO POR NOTA,4,PENSAMENTO COMPUTACIONAL,2020.1
112,51700,024332d25d558899c24f6a7bacfe6019,2,9.2,6.9,APROVADO POR NOTA,4,PENSAMENTO COMPUTACIONAL,2020.1
113,51700,024332d25d558899c24f6a7bacfe6019,3,5.6,6.9,APROVADO POR NOTA,4,PENSAMENTO COMPUTACIONAL,2020.1
114,51702,0e3f4a13180bc8e086ed5914cac79b58,1,8.2,7.6,APROVADO,2,PENSAMENTO COMPUTACIONAL,2020.1
