,id_turma,discente,docente,unidade,nota,media_final,numero_total_faltas,aprovado,reposicao,reprovadoporfalta,semestre
399310,25586,0.1551481667735556,1.0,0.0,1.0,0.9,0.11764705882352941,1.0,0.0,0.0,2018.2
399311,25586,0.1551481667735556,1.0,0.5,1.0,0.9,0.11764705882352941,1.0,0.0,0.0,2018.2
399312,25586,0.1551481667735556,1.0,1.0,0.7,0.9,0.11764705882352941,1.0,0.0,0.0,2018.2
399313,25586,0.5083911915753683,1.0,0.0,0.58,0.43,0.20588235294117646,0.0,0.0,0.0,2018.2
399314,25586,0.5083911915753683,1.0,0.5,0.71,0.43,0.20588235294117646,0.0,0.0,0.0,2018.2
399315,25586,0.5083911915753683,1.0,1.0,0.0,0.43,0.20588235294117646,0.0,0.0,0.0,2018.2
399316,25586,0.9647907264474516,1.0,0.0,1.0,1.0,0.14705882352941177,1.0,0.0,0.0,2018.2
399317,25586,0.9647907264474516,1.0,0.5,1.0,1.0,0.14705882352941177,1.0,0.0,0.0,2018.2
399318,25586,0.9647907264474516,1.0,1.0,1.0,1.0,0.14705882352941177,1.0,0.0,0.0,2018.2
399319,25586,0.40122363241964776,1.0,0.0,0.8,0.93,0.08823529411764706,1.0,0.0,0.0,2018.2
399320,25586,0.40122363241964776,1.0,0.5,1.0,0.93,0.08823529411764706,1.0,0.0,0.0,2018.2
