,discente,unidade,nota,media_final,aprovado,reposicao,reprovadoporfalta,numero_total_faltas,descricao,nivel_ensino,id_turma,codigo,disciplina,docente,semestre,reprovadomatematicamente
325708,13211760799e7de454bd0666a73c3b73,1,9.0,8.9,True,False,False,0,APROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325709,13211760799e7de454bd0666a73c3b73,2,8.3,8.9,True,False,False,0,APROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325710,13211760799e7de454bd0666a73c3b73,3,9.5,8.9,True,False,False,0,APROVADO,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325711,9c66b666611074df23815f1e5b531438,1,6.0,5.0,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325712,9c66b666611074df23815f1e5b531438,2,4.0,5.0,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325713,9c66b666611074df23815f1e5b531438,3,5.0,5.0,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325714,a38f4118d8625bea084b6b1d775d3fc4,1,10.0,5.3,False,False,False,0,REPROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325715,a38f4118d8625bea084b6b1d775d3fc4,2,3.4,5.3,False,False,False,0,REPROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325716,a38f4118d8625bea084b6b1d775d3fc4,3,0.0,5.3,False,False,False,0,REPROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
325717,4f6414b79a7db3cb266b6d4f3aa04ac3,1,8.5,5.9,True,False,False,0,APROVADO POR NOTA,GRADUAÇÃO,13437,IMD0012.0,INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO,ANDRE LUIZ DA SILVA SOLINO,2018.1,False
